,Latitude,Longitude
670,59.33,-107.17
671,53.28,-111.77
672,44.12,-77.57
673,48.82,-87.27
674,43.32,-80.83
675,47.23,-55.36
676,47.10,-55.77
677,46.68,-70.85
678,61.76,-121.24
679,42.72,-80.88
680,49.15,-88.34
681,45.27,-72.12
682,43.37,-81.00
683,50.43,-127.48
684,42.90,-79.87
685,48.85,-72.20
686,48.57,-123.45
687,69.20,-118.63
688,50.37,-114.63
689,50.13,-119.00
690,55.42,-119.25
691,43.46,-80.38
692,43.93,-76.63
693,49.11,-122.83
694,49.96,-119.38
695,44.62,-79.40
696,50.82,-128.91
697,49.17,-96.98
698,50.33,-107.75
699,49.13,-100.60
700,46.48,-70.22
701,48.98,-66.37
702,56.73,-122.58
703,64.47,-140.73
704,49.44,-108.99
705,47.87,-67.93
706,45.53,-75.97
707,45.43,-73.62
708,49.69,-88.31
709,50.43,-104.63
710,50.78,-103.62
711,53.45,-77.50
712,50.07,-122.95
713,49.08,-121.70
714,50.67,-114.28
715,49.35,-124.78
716,48.37,-68.70
717,48.99,-123.57
718,49.83,-111.30
719,45.40,-74.20
720,50.02,-100.00
721,46.22,-84.07
722,52.92,-119.38
723,46.98,-80.08
724,45.35,-80.05
725,46.15,-65.90
726,45.38,-75.75
727,62.18,-136.48
728,44.13,-78.22
729,44.08,-79.13
730,50.75,-121.58
731,61.37,-139.04
732,44.48,-80.05
733,50.37,-127.23
734,48.82,-72.73
735,49.50,-124.33
736,55.70,-121.62
737,54.62,-97.77
738,46.33,-71.98
739,49.75,-124.58
740,49.97,-105.63
741,59.70,-113.03
742,49.87,-111.37
743,46.38,-72.62
744,57.65,-128.17
745,55.13,-105.33
746,43.67,-79.40
747,50.23,-87.50
748,45.15,-64.45
749,52.93,-66.87
750,43.77,-79.88
751,74.67,-84.67
752,48.43,-58.47
753,49.20,-123.13
754,48.67,-78.68
755,49.52,-105.37
756,50.80,-119.30
757,49.85,-95.53
758,51.30,-111.39
759,64.19,-114.08
760,62.73,-138.83
761,49.65,-108.40
762,69.43,-133.03
763,51.67,-110.55
764,45.32,-75.90
765,68.64,-95.85
766,48.52,-64.38
767,50.27,-108.55
768,50.60,-112.30
769,49.87,-106.35
770,46.08,-79.35
771,50.63,-97.02
772,49.32,-122.95
773,56.92,-117.60
774,52.20,-87.94
775,48.64,-123.56
776,49.32,-123.05
777,42.88,-80.23
778,64.32,-96.00
779,50.62,-113.45
780,48.15,-69.70
781,50.45,-97.20
782,44.23,-76.60
783,50.87,-105.17
784,63.17,-130.20
785,49.50,-97.70
786,54.08,-121.83
787,49.32,-123.00
788,63.07,-116.88
789,49.08,-66.73
790,43.45,-80.48
791,63.75,-91.83
792,56.18,-121.57
793,51.23,-101.38
794,68.78,-81.24
795,47.99,-72.30
796,47.95,-72.17
797,56.95,-117.64
798,49.38,-121.93
799,43.75,-79.42
800,54.15,-111.27
801,43.28,-79.88
802,53.01,-78.83
803,45.43,-73.93
804,55.08,-125.58
805,49.95,-125.21
806,51.20,-98.38
807,45.48,-76.70
808,49.81,-115.63
809,51.48,-78.75
810,43.92,-80.48
811,51.20,-110.17
812,54.03,-131.97
813,44.70,-76.30
814,49.03,-116.46
815,52.80,-109.60
816,53.58,-114.88
817,51.95,-107.15
818,55.07,-117.27
819,46.00,-71.42
820,48.98,-54.85
821,55.02,-110.62
822,49.33,-101.00
823,52.75,-119.30
824,53.55,-117.00
825,52.18,-122.05
826,54.02,-132.12
827,50.01,-123.12
828,58.10,-112.15
829,44.58,-79.90
830,44.12,-77.50
831,49.48,-119.58
832,49.18,-123.08
833,45.03,-74.70
834,46.57,-67.58
835,53.18,-99.27
836,46.35,-82.56
837,44.55,-65.78
838,51.53,-115.10
839,52.40,-108.27
840,58.82,-122.70
841,44.40,-80.68
842,51.02,-111.55
843,45.03,-78.53
844,49.48,-110.55
845,58.52,-117.10
846,50.48,-103.38
847,65.76,-111.25
848,53.12,-112.18
849,44.13,-77.82
850,47.32,-71.15
851,51.07,-119.03
852,48.30,-70.92
853,55.15,-105.27
854,50.93,-122.78
855,58.38,-113.15
856,44.12,-77.88
857,45.01,-73.87
858,58.10,-68.42
859,52.05,-111.95
860,49.37,-114.52
861,46.12,-64.03
862,45.62,-64.08
863,53.92,-122.73
864,49.10,-97.55
865,46.17,-63.35
866,42.92,-82.03
867,45.08,-71.88
868,48.85,-64.62
869,43.25,-79.77
870,49.82,-102.67
871,50.48,-120.98
872,49.47,-124.68
873,47.27,-84.43
874,59.93,-128.50
875,49.28,-114.37
876,54.93,-114.03
877,48.47,-81.37
878,65.77,-111.23
879,55.29,-114.78
880,43.13,-80.45
881,49.05,-113.92
882,52.08,-109.40
883,54.30,-111.45
884,48.22,-76.62
885,48.00,-70.78
886,49.22,-122.48
887,54.63,-113.91
888,48.28,-89.38
889,47.90,-73.80
890,43.55,-80.22
891,45.10,-64.37
892,43.98,-80.75
893,50.82,-110.95
894,43.07,-79.05
895,51.20,-97.58
896,44.53,-79.20
897,45.87,-70.62
898,51.48,-117.15
899,47.33,-85.83
900,50.22,-66.20
901,43.83,-66.09
902,45.30,-63.65
903,49.24,-121.76
904,52.05,-124.90
905,49.12,-119.55
906,52.28,-131.12
907,54.48,-116.98
908,49.87,-64.53
909,42.45,-81.88
910,49.23,-123.02
911,45.87,-70.87
912,49.62,-87.95
913,49.82,-98.52
914,43.88,-80.33
915,64.11,-117.33
916,49.47,-120.51
917,46.92,-55.38
918,54.32,-130.27
919,46.15,-71.70
920,55.32,-123.08
921,45.25,-75.70
922,49.28,-124.88
923,49.37,-125.15
924,51.15,-112.92
925,50.67,-120.50
926,46.23,-61.13
927,50.18,-109.80
928,45.60,-79.57
929,51.07,-67.48
930,50.45,-106.05
931,45.25,-75.03
932,55.15,-105.27
933,45.42,-71.48
934,49.37,-123.08
935,50.11,-100.18
936,44.42,-79.15
937,49.03,-100.75
938,53.68,-57.04
939,47.07,-55.82
940,43.98,-79.47
941,47.80,-64.93
942,44.12,-81.01
943,44.03,-79.60
944,74.72,-94.98
945,56.70,-115.77
946,42.70,-81.70
947,45.32,-71.47
948,49.92,-97.13
949,50.07,-124.95
950,56.25,-120.83
951,49.82,-114.63
952,44.67,-80.83
953,49.27,-121.83
954,48.35,-53.90
955,44.98,-79.28
956,49.13,-122.73
957,45.42,-63.42
958,42.04,-82.67
959,53.58,-116.42
960,48.43,-123.35
961,43.90,-78.67
962,50.45,-104.65
963,45.28,-66.08
964,48.78,-64.48
965,52.82,-122.37
966,44.12,-79.50
967,48.73,-91.20
968,79.99,-85.81
969,47.73,-69.98
970,49.84,-100.93
971,49.92,-97.02
972,49.23,-123.03
973,52.12,-110.10
974,46.87,-71.17
975,43.15,-80.30
976,44.13,-81.15
977,54.83,-69.88
978,49.63,-102.53
979,49.32,-57.39
980,49.20,-122.85
981,47.62,-59.15
982,44.63,-63.50
983,51.18,-110.23
984,48.55,-93.52
985,45.92,-60.65
986,49.95,-108.47
987,42.03,-82.90
988,49.92,-102.67
989,50.78,-128.43
990,47.36,-70.03
991,50.12,-101.53
992,50.45,-104.67
993,56.36,-94.71
994,49.03,-90.47
995,66.58,-61.62
996,47.12,-70.83
997,43.75,-79.20
998,49.28,-100.98
999,50.49,-104.59
1000,44.17,-77.37
1001,50.12,-123.10
1002,44.30,-77.80
1003,58.67,-69.96
1004,46.12,-74.48
1005,52.11,-106.71
1006,54.46,-124.29
1007,44.08,-77.67
1008,57.38,-121.38
1009,49.18,-102.60
1010,49.05,-55.42
1011,53.92,-115.53
1012,44.82,-62.33
1013,49.07,-119.02
1014,69.67,-121.67
1015,49.28,-70.98
1016,43.35,-79.80
1017,54.01,-128.71
1018,43.90,-79.62
1019,42.63,-81.45
1020,51.03,-113.28
1021,51.68,-113.31
1022,60.24,-123.47
1023,47.32,-70.57
1024,54.35,-114.43
1025,50.85,-103.77
1026,53.52,-122.65
1027,51.27,-114.72
1028,50.18,-98.38
1029,53.28,-122.48
1030,44.47,-63.57
1031,43.77,-80.17
1032,43.18,-79.40
1033,53.98,-118.18
1034,48.57,-78.13
1035,49.32,-88.85
1036,49.52,-113.97
1037,49.97,-119.45
1038,55.45,-118.64
1039,51.32,-108.42
1040,45.97,-74.63
1041,53.55,-114.63
1042,58.02,-116.58
1043,56.86,-101.08
1044,49.21,-119.82
1045,51.80,-114.63
1046,49.02,-64.40
1047,63.52,-137.02
1048,51.65,-110.55
1049,53.92,-118.65
1050,54.02,-112.23
1051,60.02,-132.17
1052,49.92,-126.65
1053,51.98,-115.25
1054,46.62,-63.92
1055,52.64,-128.52
1056,49.02,-95.60
1057,68.65,-71.17
1058,52.22,-111.92
1059,45.25,-71.78
1060,49.33,-123.17
1061,47.65,-67.35
1062,50.97,-107.12
1063,49.00,-113.38
1064,51.97,-68.17
1065,50.88,-114.45
1066,54.75,-112.95
1067,51.02,-57.10
1068,49.77,-100.63
1069,44.50,-80.22
1070,51.32,-107.33
1071,45.73,-60.60
1072,52.08,-115.85
1073,48.82,-88.52
1074,43.65,-80.42
1075,53.58,-113.72
1076,55.74,-60.43
1077,50.25,-63.58
1078,51.90,-108.52
1079,64.12,-117.31
1080,49.52,-98.00
1081,48.50,-67.17
1082,50.73,-122.22
1083,50.23,-57.58
1084,54.85,-128.80
1085,53.33,-104.00
1086,49.15,-122.92
1087,48.34,-123.54
1088,46.38,-75.98
1089,54.50,-115.47
1090,51.77,-113.21
1091,49.13,-100.12
1092,45.30,-71.57
1093,51.53,-71.11
1094,56.98,-111.45
1095,52.12,-119.29
1096,47.70,-79.85
1097,45.60,-70.88
1098,47.53,-52.83
1099,53.60,-115.22
1100,49.28,-124.58
1101,53.45,-115.87
